Country,AssetClass,Sector,Industry,Name,Symbol,Exchange,Priority,Watchlist,Portfolio,Active,Tags,Notes
USA,Equity,Healthcare,Medical Devices,Abbott Laboratories,ABT,NYSE,4,TRUE,FALSE,TRUE,medical,

USA,Equity,Financials,Asset Management,BlackRock,BLK,NYSE,5,TRUE,FALSE,TRUE,asset-management;etf,
USA,Equity,Financials,Bank,JPMorgan Chase,JPM,NYSE,5,TRUE,FALSE,TRUE,bank,
USA,Equity,Financials,Bank,Goldman Sachs,GS,NYSE,5,TRUE,FALSE,TRUE,investment-bank,
USA,Equity,Financials,Exchange,CME Group,CME,NASDAQ,5,TRUE,FALSE,TRUE,exchange,
USA,Equity,Financials,Exchange,Intercontinental Exchange,ICE,NYSE,5,TRUE,FALSE,TRUE,exchange,
USA,Equity,Financials,Payments,Visa,V,NYSE,5,TRUE,FALSE,TRUE,payments,
USA,Equity,Financials,Payments,Mastercard,MA,NYSE,5,TRUE,FALSE,TRUE,payments,
USA,Equity,Financials,Payments,PayPal,PYPL,NASDAQ,3,TRUE,FALSE,TRUE,fintech,

USA,Equity,Consumer,Retail,Walmart,WMT,NYSE,5,TRUE,FALSE,TRUE,retail,
USA,Equity,Consumer,Warehouse Club,Costco,COST,NASDAQ,5,TRUE,FALSE,TRUE,retail,
USA,Equity,Consumer,Beverages,Coca-Cola,KO,NYSE,5,TRUE,FALSE,TRUE,beverages,
USA,Equity,Consumer,Beverages,PepsiCo,PEP,NASDAQ,5,TRUE,FALSE,TRUE,beverages,
USA,Equity,Consumer,Restaurants,McDonald's,MCD,NYSE,5,TRUE,FALSE,TRUE,qsr,
USA,Equity,Consumer,Entertainment,Walt Disney,DIS,NYSE,4,TRUE,FALSE,TRUE,media,
USA,Equity,Consumer,Entertainment,Electronic Arts,EA,NASDAQ,4,TRUE,FALSE,TRUE,gaming,
USA,Equity,Consumer,Telecom,T-Mobile US,TMUS,NASDAQ,4,TRUE,FALSE,TRUE,telecom,

USA,Equity,Energy,Oil & Gas,Exxon Mobil,XOM,NYSE,4,TRUE,FALSE,TRUE,oil,
USA,Equity,Energy,Oil & Gas,Chevron,CVX,NYSE,4,TRUE,FALSE,TRUE,oil,
USA,Equity,Energy,LNG,Cheniere Energy,LNG,NYSE,4,TRUE,FALSE,TRUE,lng,
USA,Equity,Energy,Uranium,Cameco,CCJ,NYSE,5,TRUE,FALSE,TRUE,uranium,
USA,Equity,Energy,Uranium,NexGen Energy,NXE,NYSE,4,TRUE,FALSE,TRUE,uranium,
USA,Equity,Materials,Copper,Freeport-McMoRan,FCX,NYSE,5,TRUE,FALSE,TRUE,copper,
USA,Equity,Materials,Gold,Newmont,NEM,NYSE,4,TRUE,FALSE,TRUE,gold,
USA,Equity,Materials,Gold,Barrick Gold,GOLD,NYSE,4,TRUE,FALSE,TRUE,gold,

USA,ETF,ETF,Broad Market,SPDR S&P 500 ETF,SPY,NYSE,5,TRUE,FALSE,TRUE,etf,
USA,ETF,ETF,Nasdaq 100,Invesco QQQ,QQQ,NASDAQ,5,TRUE,FALSE,TRUE,etf,
USA,ETF,ETF,Total Market,Vanguard Total Stock Market,VTI,NYSE,5,TRUE,FALSE,TRUE,etf,
USA,ETF,ETF,Semiconductors,VanEck Semiconductor ETF,SMH,NASDAQ,5,TRUE,FALSE,TRUE,semiconductor,
USA,ETF,ETF,Semiconductors,iShares Semiconductor ETF,SOXX,NASDAQ,5,TRUE,FALSE,TRUE,semiconductor,
USA,ETF,ETF,Gold,SPDR Gold Shares,GLD,NYSE,4,TRUE,FALSE,TRUE,gold,
USA,ETF,ETF,Silver,iShares Silver Trust,SLV,NYSE,4,TRUE,FALSE,TRUE,silver,
USA,ETF,ETF,Cybersecurity,First Trust NASDAQ Cybersecurity ETF,CIBR,NASDAQ,4,TRUE,FALSE,TRUE,cybersecurity,
